Ada	埃达
McNerney	麦克纳尼
LaRoche	拉罗什
Tadhgh	泰格
Hassam	哈萨姆
Hurnik	赫尼克
McCullough	麦卡洛
Haesloop	黑斯卢普
Durn	德恩
McKinney	麦金尼
Vande	范德
Hykes	海克思
Duross	杜罗斯
Grassi	格拉西
Oonagh	乌娜
Thadeus	撒迪厄斯
LeCour	勒库尔
Cain	凯恩
Sanders	桑德斯
LeBlanc	勒布朗
McFadden	麦克法登
Engen	恩金
McCrary	麦克拉里
Ziedonis	齐多尼斯
Deen	迪恩
McGuane	麦瓜恩
LeBailly	勒巴伊
Machold	麦克霍尔德
Addy	阿迪
LeMasurier	勒马叙里耶
Hiemstra	希姆斯特拉
Marsch	马希
McCloughin	麦克卢因
Finola	菲诺拉
Hahessy	黑伊西
Hjorth	约尔特
Thady	萨迪
LaFollette	拉福莱特
McBride	麦克布赖德
McNicholas	麦克尼古拉斯
McCabe	麦凯布
LeHuray	勒休雷
McSherry	麦克谢里
Vander	范德
McDonald	麦克唐纳
Don	唐
McCormack	麦科马克
Sirman	西尔曼
McKee	麦基
Abram	艾布拉姆
