Goorty	古尔蒂
Whitteridge	惠特里奇
Perciasepe	珀西亚塞普
Hollifield	霍利菲尔德
Hanahan	哈纳汉
Peacey	皮西
Moskowitz	莫斯科维茨
Macsorley	麦克索利
Sudley	萨德利
Flavius	弗莱维厄斯
Rowdon	罗登
Adolfo	阿道夫
Snelling	斯内林
Brockington	布罗金顿
Coling	科林
Oldcastle	奥尔德卡斯尔
Boyars	博亚尔斯
Vidal	维达尔
Millet	米利特
Parlour	帕勒
Oram	奥拉姆
Faucitt	福西特
Steininger	施泰宁格
Deidre	戴德丽
Boulet	鲍莱特
Karlyn	卡林
Winchester	温切斯特
Guggenheim	古根海姆
Hamada	哈马达
Blishen	布利申
Sigal	西加尔
Dreilinger	德雷林格
Guttay	格泰
Fyfield	法伊菲尔德
Fastow	法斯托
Maulsby	莫尔斯比
Adreon	阿德雷翁
Bear	贝尔
Kidwell	基德韦尔
Piers	皮尔斯
Myram	迈拉姆
Wick	威克
Jastremski	贾斯特伦斯基
MacCumhail	麦库尔
Garthwaite	加思韦特
Kempton	肯普顿
Neveu	内维尤
Buszard	布扎德
Leder	莱德
Ironmonger	艾恩芒格
Grath	格拉思
Eunson	尤恩森
Tope	托普
Studdert	斯塔德特
Prestemon	普雷斯特蒙
MacGee	麦吉
Cortez	科尔特斯
Sylvana	西尔瓦纳
Butzner	布茨纳
Glunicke	格卢尼克
Greadell	格里德尔
Andry	安德里
Secrett	西克雷特
Frish	弗里希
Poll	波尔
Kite	凯特
Bellocchi	贝洛基
Heavner	希夫纳
Ruben	鲁宾
Karby	卡尔比
Herrell	赫里尔
Cranford	克兰福德
Ehlert	埃勒特
Aliaby	阿利亚比
Caraway	卡拉韦
Helsham	赫尔沙姆
Claran	克拉伦
Tyerman	泰尔曼
Fledderjohn	弗莱德约翰
Westervelt	韦斯特维尔特
Surine	苏赖因
Krasny	克拉斯尼
Sinkins	辛金斯
Riley	赖利
Eagling	伊格琳
Gildea	吉尔德
Almers	阿尔默斯
Coolie	库利
Hutcheon	哈琴
Pritt	普里特
Grille	格里尔
Look	卢克
Lotta	洛塔
Laforce	拉福斯
Salame	萨勒梅
Yokich	约基克
Modigliani	莫迪利亚尼
Teeples	蒂普尔斯
Zelner	泽尔纳
Lingane	林根
Campion	坎皮恩
Tienken	廷肯
Thorenberg	托伦伯格
Godsoe	戈德索
Agnes	阿格尼丝
Ludden	勒登
Boorstin	布尔斯廷
McGee	麦吉
Whitamore	惠塔莫尔
Leise	莱塞
Manuelita	曼纽莉塔
Durno	杜尔诺
Fitchen	菲琴
Bouquet	布凯
Pollen	波伦
Clapperton	克拉珀顿
Hamachek	哈马切克
Obuchovich	奥布乔维奇
McMurtry	麦克默特里
Werthimer	沃西默
