DeArmond	德阿蒙
DeBelleville	德贝尔维尔
DeBellis	德贝利斯
DeForest	德福雷斯特
DeBenham	德贝纳姆
DeBennedetto	德贝内代托
DeBroekert	德布勒克特
DeBruhl	德布鲁尔
DeBruin	德布鲁因
DeBusk	德巴斯克
DeCair	德凯尔
DeCarli	德卡利
DeCell	德塞尔
DeChaby	德沙比
DeDeo	戴德奥
DeFalaise	德法莱斯
DeFalco	德法尔科
DeFelice	德费利斯
DelJunco	德尔洪科
DelRenzio	德尔伦齐奥
DelRiego	德尔列戈
DelStrother	德尔斯特罗瑟
DelTufo	德尔图福
DenUyl	登艾尔
DesChamps	德尚
DesGraz	德格拉
DesVoeux	德沃
DuBois	杜波依斯
LaBrooy	拉布罗伊
LaCerva	拉塞尔瓦
LaCoupee	拉库佩
LaCour	拉库尔
LaFarge	拉法奇
LaFerte	拉弗特
LaFollette	拉福莱特
LaFontaine	拉方丹
LaFountain	拉方丹
LaFuente	拉富恩特
LaGuardia	拉瓜迪亚
LaMotte	拉莫特
LaNauze	拉诺兹
LaPole	拉波尔
LaRoche	拉罗什
LaRoque	拉罗克
LaRue	拉吕
LaTerriere	拉特里尔
LaTouche	拉图什
LaVecchia	拉韦基亚
LaVier	拉维尔
LeBlanc	勒布朗
LeClaire	勒克莱尔
LeCour	勒库尔
LeHuray	勒休雷
LeLacheur	勒拉舍尔
LeMasurier	勒马叙里耶
LeMesurier	勒梅热勒
LeNeve	勒尼夫
LePoer	勒普尔
LeQueux	勒丘
LeRougetel	勒鲁热特尔
LeBailly	勒巴伊
LeBars	勒巴斯
LeBas	勒巴斯
LeBlanc	勒布朗
LeBoutillier	勒布蒂耶
LeBreton	勒布雷顿
LeBrun	勒布龙
LeCappelain	勒卡普兰
LeCarre	勒卡雷
LeChaminant	勒谢米南
LeChanu	勒沙努
LeCheminant	勒谢米南
LeCocq	勒科克
LeCornu	勒科尔尼
LeCour	勒库尔
LeCourt	勒考特
LeCouteur	勒库特
LeCras	勒克拉
LeCren	勒克伦
LeCuirot	勒奎罗
LeDespencer	勒德斯潘瑟
LeDuc	勒迪克
LeFebvre	勒费布尔
LeFeuvre	勒菲弗
LeFevre	勒费夫尔
LeFleming	勒弗莱明
LeFondre	勒方德雷
LeGallais	勒加莱
LeGallez	勒加莱
LeGallienne	勒加利纳
LeGette	勒热特
LeGresley	勒格雷斯利
LeGrice	勒格赖斯
LeGriffon	勒格里丰
LeGros	勒格罗
LeGuin	勒吉恩
LeHucquet	勒胡凯
LeHuray	勒休雷
LeLievre	勒利弗
LeMachon	勒马雄
LeMain	勒梅因
LeMaistre	勒梅斯特
LeMaitre	勒梅特
LeMarchand	勒马钱德
LeMarchant	勒马钱特
LeMarquand	勒马昆德
LeMasurier	勒马叙里耶
LeMauviel	勒莫维埃尔
LeMessurier	勒梅热勒
LeMoisne	勒姆万
LeMonnier	勒莫尼耶
LeMontais	勒蒙泰
LeNoury	勒努里
LePage	勒佩奇
LePatourel	勒帕图雷尔
LePelley	勒佩利
LePennec	勒佩内克
LePoidevin	勒普瓦德万
LePrevost	勒普雷沃斯特
LeQuesne	勒凯纳
LeRendu	勒朗杜
LeRiche	勒里什
LeRossignol	勒罗西尼奥尔
LeRoy	勒罗伊
LeRuez	勒吕埃
LeSage	勒萨热
LeSauteur	勒索特
LeSauvage	勒索瓦热
LeSueur	勒叙厄尔
LeSurf	勒瑟夫
LeTissier	勒蒂西耶
LeTocq	勒托克
LeVan	勒范
LeVesconte	勒韦康特
MacAindriu	麦克安德留
McAvinney	麦卡文尼
McBride	麦克布赖德
McCabe	麦凯布
McCormack	麦科马克
McCrary	麦克拉里
McCullough	麦卡洛
McDonald	麦克唐纳
McFadden	麦克法登
McGiolla	麦乔拉
McGivern	麦吉温
McGuane	麦瓜恩
McGurran	麦古兰
McKee	麦基
McKinney	麦金尼
McNerney	麦克纳尼
McNicholas	麦克尼古拉斯
McSherry	麦克谢里
McWhite	麦克怀特
OldCoyote	奥尔德科约特
TenEyck	坦艾克
Vande	范德
Vander	范德
