A'Court	埃科特
D'Abbes	达布斯
D'Abernon	达伯农
D'Abreu	达布鲁
D'Accone	达科内
D'Acosta	达科斯塔
D'Aeth	戴思
D'Agostini	达戈斯蒂尼
D'Agostino	达戈斯蒂诺
D'Aguilar	达圭勒
D'Albert	达伯特
D'Albiac	多比亚克
D'Alessandro	达历山德罗
D'Alexander	达历山大
D'Alton	多尔顿
D'Amato	达马托
D'Ambrosio	丹布罗西奥
D'Ambrumenil	丹布鲁梅尼尔
D'Amico	达米科
D'Amours	达穆尔斯
D'Anastasio	达纳斯塔西奥
D'Angelo	丹吉洛
D'Aprano	达普拉诺
D'Aquino	达基诺
D'Arcy	达西
D'Avigdor	达维多尔
D'Costa	德科斯塔
D'Eauthreau	多特罗
D'Egville	德格维尔
Dell'Omo	德洛莫
Dell'Osso	德洛索
D'Erlanger	德朗热
D'Eyncourt	戴恩科特
D'Harnoncourt	达农科特
D'Hooghe	德胡赫
D'Olier	多利埃
D'Orazio	多拉齐奥
D'Oyly	多伊利
D'Urfey	杜尔费
D'Ewes	迪尤斯
I'Anson	艾恩森
L'Amour	拉穆尔
L'Estrange	莱斯特兰奇
L'Hagan	拉根
Maco'Shannaig	麦科尚奈格
M'Gregor	麦格雷戈
O'Ballance	奥巴兰斯
O'Beirne	奥贝恩
O'Boyle	奥博伊尔
O'Brady	奥布雷迪
O'Brian	奥布赖恩
O'Brien	奥布赖恩
O'Brine	奥布兰
O'Bryan	奥布赖恩
O'Byrne	奥伯恩
O'Callaghan	奥卡拉汉
O'Carolan	奥卡罗兰
O'Casey	奥卡西
O'Cassy	奥卡西
O'Ceallaigh	欧克立
O'Clery	奥克利里
O'Collins	奥柯林斯
O'Connell	奥康奈尔
O'Conner	奥康纳
O'Conners	奥康纳斯
O'Connor	奥康纳
O'Conor	奥康纳
O'Coraill	奥科雷尔
O'Curry	奥柯里
O'Dalaigh	奥道劳
O'Daniel	奥丹尼尔
O'Day	奥戴
O'Dea	奥戴
O'Derrig	奥德里格
O'Doherty	奥多尔蒂
O'Donnel	奥唐奈
O'Donnell	奥唐奈
O'Donoghue	奥多诺休
O'Donohue	奥多诺休
O'Donovan	奥多诺万
O'Dowd	奥多德
O'Dowda	奥多达
O'Driscoll	奥德里斯科尔
O'Duffy	奥达菲
O'Dwyer	奥德怀尔
O'Faolain	奥法莱恩
O'Farrell	奥法雷
O'Ferrall	奥费拉尔
O'Fiaich	奥菲耶赫
O'Flahertie	奥弗莱厄蒂
O'Flaherty	奥弗莱厄蒂
O'Flynn	奥弗林
O'Gallar	奥加拉
O'Gara	奥加拉
O'Geron	奥热龙
O'Gmole	奥格莫尔
O'Gorman	奥戈尔曼
O'Grad	奥格拉德
O'Grady	奥格雷迪
O'Graham	奥格雷厄姆
O'Hagan	奥黑根
O'Halloran	奥哈洛伦
O'Hanlon	奥汉隆
O'Hannrachain	奥汉拉钦
O'Hara	奥哈拉
O'Hare	奥黑尔
O'Hayre	奥黑尔
O'Hea	奥黑
O'Hearn	奥赫恩
O'Henry	奥亨利
O'Hern	奥赫恩
O'Higgins	奥希金斯
O'Hodhrain	奥霍雷恩
O'Jibway	奥吉布韦
O'Kane	奥凯恩
O'Keefe	奥基夫
O'Keeffe	奥基夫
O'Kelly	奥凯利
O'Kennedy	奥肯尼迪
O'Konski	奥康斯基
O'Laughlin	奥劳克林
O'Leary	奥利里
O'Loghlen	奥洛克伦
O'Loughlin	奥洛克林
O'Mahoney	奥马霍尼
O'Malley	奥马利
O'Mara	奥马拉
O'Mard	奥马德
O'Mealia	奥米利亚
O'Meara	奥马拉
O'Melia	奥梅利亚
O'Melveny	奥梅尔维尼
O'Moore	奥穆尔
O'Morchoe	奥马罗
O'More	奥莫尔
O'Mullony	奥马洛尼
O'Neal	奥尼尔
O'Neale	奥尼尔
O'Neil	奥尼尔
O'Neill	奥尼尔
O'Nell	奥尼尔
O'Niel	奥尼尔
O'Reagan	奥里根
O'Rear	奥里尔
O'Regan	奥里甘
O'Reilly	奥赖利
O'Rell	奥雷尔
O'Riordan	奥赖尔登
O'Rorke	奥罗克
O'Rourke	奥罗克
O'Ryan	奥赖恩
O'Sconnor	奥斯康诺
O'Scott	奥斯科特
O'Shaughnessy	奥肖内西
O'Shea	奥谢
O'Shiel	奥希尔
O'Steen	奥斯廷
O'Sullivan	奥沙利文
O'Toole	奥图尔
