Abril	阿布里尔; 阿布丽尔 (女名)
Afra	阿弗拉;阿芙拉(女名)
Agace	阿加斯;阿加丝(女名)
Ainsley	安斯利;安斯莉(女名)
Airis	艾里斯;艾丽斯(女名)
Alena	阿莱纳;阿莱娜(女名)
Alexa	亚历克萨;亚历克莎(女名)(教名Alexander、Alexandrina的昵称)
Alexis	亚历克西斯;亚历克西丝(女名)
Alia	阿利亚;阿莉娅(女名)
Alie	阿利;阿莉(女名)
Alison	艾利森;艾莉森(女名)(教名Alice的昵称)
Alith	艾利斯;艾丽斯(女名)
Alize	阿利兹;阿莉兹(女名)
Allie	阿利;阿莉(女名)(教名Alice、Alicia的昵称)
Allison	艾利森;艾莉森(女名)
Allyson	阿利森;阿莉森(女名)
Aloisia	阿洛伊西亚;阿洛伊西娅(女名)
Aloysia	阿洛伊西亚;阿洛伊西娅(女名)
Alyth	艾利斯;艾丽斯(女名)
Amalya	阿马利亚;阿玛莉娅(女名)
Amara	阿玛拉 (女名); 阿马拉
Amari	阿马里;阿玛丽(女名)
Ameline	埃梅林;埃梅琳(女名)
America	阿梅里卡;阿梅丽卡(女名)
Amis	埃米斯;埃米丝(女名)
Anable	阿纳布尔;安娜布尔(女名)
Anais	阿内斯;阿内丝(女名)
Anastase	阿纳斯塔斯;阿纳斯塔丝(女名)
Angeletta	安杰利塔;安杰莉塔(女名)
Angelique	安杰利克;安杰莉克(女名)
Angelitta	安杰莉塔 (女名);安杰利塔
Angellita	安杰利塔;安杰莉塔(女名)
Anita	安尼塔;安妮塔(女名)
Aniya	阿尼亚;阿妮娅(女名)
Aniyah	阿尼亚;阿妮娅(女名)
Annelie	安尼利;安妮莉(女名)
Annestas	安尼斯塔斯;安妮斯塔丝(女名)
Anstes	安斯蒂斯;安斯蒂丝(女名)
Anstey	安斯蒂;安丝蒂(女名)
Anstice	安斯蒂斯;安斯蒂丝(女名)
Anstis	安斯蒂斯;安斯蒂丝(女名)
Anstiss	安斯蒂斯;安斯蒂丝(女名)
Anya	阿尼亚;阿妮娅(女名)
Applin	阿普林;阿普琳(女名)
April	阿普丽尔 (女名);阿普里尔
Aquilina	阿基利娜 (女名);阿基利纳
Ashley	阿什利;阿什莉(女名)
Avice	阿维斯;阿维丝(女名)
Avril	埃夫里尔;埃夫丽尔(女名)
Aylin	艾林;艾琳(女名)
Babbott	巴博特;芭博特(女名)
Babbs	巴布斯;芭布丝(女名)
Babby	巴比;芭比(女名)
Baby	巴比;芭比(女名)
Bailey	贝利;贝莉 (女名)
Barbe	巴布;芭布(女名)
Barbie	巴比;芭比(女名)
Barbot	巴博特;芭博特(女名)
Bessy	贝西;贝茜(女名)
Bettany	贝塔尼;贝塔妮(女名)
Bettina	贝蒂娜 (女名);贝蒂纳
Boadicea	博阿迪西亚;博阿迪西娅 (女名)
Brenna	布伦纳;布伦娜(女名)
Bridgette	布里奇特;布丽奇特(女名)
Brittani	布里塔尼;布里塔妮(女名)
Brittany	布里塔尼;布里塔妮(女名)
Caleigh	凯利;凯莉 (女名)
Candice	坎迪斯;坎迪丝 (女名)
Candyce	坎迪斯;坎迪丝 (女名)
Carin	卡林;卡琳(女名)
Carley	卡利; 卡莉 (女名)
Carli	卡利; 卡莉 (女名)
Carol	卡罗尔;卡萝尔(女名)
Casey	凯西;凯茜(女名)(教名Catherine、Cathleen、Kathryn的昵称)
Cassidy	卡西迪; 卡茜迪 (女名)
Cassie	凯西; 凯茜 (女名)
Cathie	凯西;凯茜 (女名) (教名Catherine、Cathleen、Kathryn的昵称)
Cathy	凯西;凯茜 (女名) (教名Catherine、Cathleen、Kathryn的昵称)
Catlin	卡特林;卡特琳 (女名)
Catriona	卡特里奥纳;卡特里奥娜  (女名)
Cecil	塞西尔; 塞茜尔 (女名)
Cecile	塞西尔;塞茜尔 (女名)
Ceres	塞雷斯;塞雷丝 (女名)
Chanel	查尼尔;查妮尔 (女名)
Chelsea	切尔西;切尔茜(女名)
Cherryh	彻里;彻丽 (女名)
Christie	克里斯蒂;克丽丝蒂(女名)
Christin	克里斯廷;克丽丝廷(女名)
Christmas	克里斯马斯;克丽丝马斯(女名)
Christy	克里斯蒂;克丽丝蒂(女名) (教名Christian、Christabel的昵称)
Chrystal	克里斯特尔;克丽丝特尔(女名)
Chrystall	克里斯特尔;克丽丝特尔(女名)
Citlalli	西特拉利;西特拉莉 (女名)
Claris	克拉里斯;克拉丽丝(女名)
Colina	科利纳;科莉娜 (女名)
Columbia	哥伦比亚; 哥伦比娅 (女名)
Corina	科里纳;科丽娜 (女名)
Corona	科罗纳;科罗娜(女名)
Courtney	考特尼;考特妮(女名)
Cris	克里斯;克丽丝 (女名)
Crista	克里斯塔;克丽丝塔(女名)
Cristal	克里斯特尔;克丽丝特尔(女名)
Crystal	克里斯特尔;克丽丝特尔 (女名)
Daddona	达多纳;达多娜(女名)
Daglia	达利亚;达利娅(女名)
Dalena	达莱纳;达莱娜(女名)
Dalia	戴利亚;戴利娅(女名)
Dana	达娜(女名);达纳
Danna	丹纳;丹娜(女名)
Daria	达里亚;达丽娅(女名)
Daryl	达里尔;达丽尔(女名)
Dayle	戴勒; 黛勒(女名)
Debbie	戴比 ;黛比 (女名)
Delmar	德尔马;德尔玛(女名)
Destiny	德斯蒂尼;德斯蒂妮(女名)
Dewi	戴维;黛维(女名)
Dimma	迪马;迪玛(女名)
Docia	多西娅(女名);多西亚
Donna	唐娜(女名);唐纳
Donnet	唐尼特; 唐妮特(女名)
Doria	多里亚;多里娅(女名)
Dowse	道斯;道丝(女名)
Dulce	达尔西;达尔茜(女名)
Dunnette	邓尼特;邓妮特(女名)
Elia	伊莱亚; 伊莱娅(女名)
Elisar	埃利萨;埃莉萨(女名)
Elissa	埃莉萨(女名);埃利萨
Ellie	埃利;埃莉(女名)
Elva	埃尔娃(女名); 埃尔瓦
Elyssa	埃利萨;埃莉莎(女名)
Emiliano	埃米利亚诺;埃米莉娅诺(女名)
Ena	埃娜(女名);埃纳
Ericka	埃里卡;埃丽卡(女名)
Ersa	埃尔莎(女名); 埃尔萨
Esme	埃斯米; 埃丝米(女名)
Estefania	埃斯特法尼亚;埃斯特法尼娅(女名)
Etheldred	埃塞德里德; 埃塞德丽德(女名)
Eve	伊夫; 伊芙(女名)
Eveline	伊夫林;伊夫琳(女名)
Evelyn	伊夫林;伊夫琳(女名)
Faith	费思;费丝(女名)
Faustina	福斯蒂纳;福斯蒂娜(女名)
Felicity	费利西蒂;费莉西蒂(女名)
Fidelia	菲德利娅(女名);菲德利亚
Fina	菲娜(女名);菲纳
Fiona	菲奥娜(女名);费奥纳
Florence	弗洛伦斯;弗洛伦丝(女名)
Francie	弗朗西;弗朗茜(女名)(教名Francie、Frances的昵称)
Frankie	弗朗基;弗朗姬(女名)(教名 Frances 的昵称)
Freda	弗雷达;弗蕾达(女名)(教名 Frieda、Winifred 的昵称)
Freddie	弗雷迪;弗蕾迪(女名)(教名Frederic、Frederick、Frederica昵称)
Freddy	弗雷迪;弗蕾迪(女名)(教名Frederic、Frederick、Frederica 昵称)
Frida	弗里达;弗丽达(女名)
Friday	弗雷迪;弗蕾迪(女名)(教名Fride- swide的昵称)
Galiena	加列纳;加列娜 (女名)
Gene	吉恩;姬恩(女名)
Gillian	吉利恩;吉莉恩(女名)
Gina	吉娜 (女名);吉纳
Gloria	格洛里亚;格洛丽亚(女名)
Grace	格雷斯;格雷丝 (女名)
Grizzell	格里泽尔;格丽泽尔(女名)
Hailey	黑利;黑莉(女名)
Halle	哈利;哈莉(女名)
Hallie	哈利;哈莉(女名)
Hanna	汉娜 (女名);汉纳
Harley	哈利;哈莉(女名)
Harriot	哈里奥特;哈丽奥特(女名)
Harry	哈里;哈丽(女名)(教名Henry、Harriet的昵称)
Hierytha	希里萨;希丽莎(女名)
Hilary	希拉里;希拉丽(女名)
Hillary	希拉里;希拉丽(女名)
Ilona	伊洛娜 (女名);伊洛纳
Ilya	伊利娅 (女名);伊利亚
Iness	伊内斯; 伊内丝 (女名)
Iona	艾奥纳;艾奥娜 (女名)
Iris	艾里斯;艾丽斯 (女名)
Ivy	艾维;艾薇(女名)
Jackie	杰基;杰姬(女名)
Jaelyn	杰林;杰琳 (女名)
Janie	贾妮(女名);贾尼
Jasmin	贾斯明;贾丝明(女名)
Jasmyn	贾斯明;贾丝明(女名)
Jayce	杰斯;杰丝 (女名)
Jaycee	杰西;杰茜 (女名)
Jaylene	杰林;杰琳(女名)
Jaylin	杰林;杰琳(女名)
Jazmin	贾斯明;贾丝明(女名)
Jazmine	贾斯明;贾丝明(女名)
Jazmyn	贾斯明;贾丝明(女名)
Jazmyne	贾斯明;贾丝明(女名)
Jena	杰纳;杰娜(女名)
Jenna	詹纳;詹娜(女名)
Jerry	杰里;杰丽(女名)
Jess	杰斯;杰丝(女名)
Jessamine	贾斯明; 贾丝明(女名)
Jessie	杰西;杰茜(女名)(教名 Janet 的昵称)
Jessy	杰西;杰茜(女名)(教名 Janet 的昵称)
Jillian	吉利恩;吉莉恩(女名)
Jocelin	乔斯林;乔斯琳(女名)
Jocelyn	乔斯林;乔斯琳(女名)
Jocelyne	乔斯林;乔斯琳(女名)
Joscelin	乔斯林;乔斯琳(女名)
Joscelyn	乔斯林;乔斯琳(女名)
Joscelyne	乔斯林;乔斯琳(女名)
Josie	乔西;乔茜(女名)
Joslin	乔斯林;乔斯琳(女名)
Joslyn	乔斯林;乔斯琳(女名)
Josselyn	乔斯林;乔斯琳(女名)
Josslyn	乔斯林;乔斯琳(女名)
Journey	朱尼;朱妮(女名)
Joyce	乔伊丝(女名);乔伊斯 (教名,亦作姓用;源于凯尔特语;它的荷兰语变体是Joos和Joost)
Judith	朱迪思;朱迪丝(女名)
Julia	朱莉娅(女名);朱利亚
Julian	朱利安;朱莉安(女名)
Justice	贾斯蒂斯;贾斯蒂丝(女名)
Kaci	凯西;凯茜(女名)
Kari	卡里;卡丽(女名)
Karin	卡琳(女名);卡林
Karley	卡利;卡莉(女名)
Karli	卡利;卡莉(女名)
Kasey	凯西;凯茜(女名)
Kassie	凯西;凯茜(女名)
Kathy	凯西;凯茜(女名)
Katrina	卡特里娜(女名);卡特里纳
Kaylynn	凯林;凯琳(女名)
Keely	基利;基莉(女名)
Kellie	凯利;凯莉(女名)
Kelsey	凯尔西; 凯尔茜(女名)
Kenya	肯尼亚;肯尼娅(女名)
Keri	克里;克丽(女名)
Kerin	凯琳(女名);凯林
Kerry	克里;克丽(女名)
Kery	克里;克丽(女名)
Kiley	基利;基莉(女名)
Kimberly	金伯利;金伯莉(女名)
Kinsey	金西;金茜(女名)
Kit	基特;姬特(女名)(教名 Christopher、Katherine 的昵称)
Kori	科里;科丽(女名)
Korry	科里;科丽(女名)
Kory	科里;科丽(女名)
Krasna	克拉斯娜(女名);克拉斯纳
Kris	克里斯;克丽丝(女名)
Kristen	克里斯滕;克丽丝滕(女名)
Krys	克里斯;克丽丝(女名)
Lana	拉纳;拉娜(女名)
Laurie	劳里;劳丽(女名)(教名 Laurence、Lawrence、Laura的昵称)
Lena	莉娜(女名);利纳(姓)
Leni	莱尼;莱妮(女名)
Lesley	莱斯莉(女名);莱斯利
Leslie	莱斯莉(女名);莱斯利
Lesslie	莱斯利;莱斯莉(女名)
Letitia	利蒂希亚;利蒂希娅(女名)
Lettice	莱蒂丝(女名);莱蒂斯
Lexi	莱克西;莱克茜(女名)
Lexie	莱克西;莱克茜(女名)
Lexus	莱克萨斯;莱克萨丝(女名)
Libby	利比;莉比(女名)
Lila	莉拉(女名);利拉
Lilly	莉莉(女名);利利
Lindsey	林赛;琳赛(女名)
Liss	莉斯(女名);利斯
Lissette	利塞特;莉塞特(女名)
Lizeth	利泽特;莉泽特(女名)
Lizette	利泽特;莉泽特(女名)
Lorena	洛雷娜(女名);洛雷纳
Lucy	露西(女名);卢西
Lyn	林恩;琳恩(女名)
Lyric	利里克;利丽克(女名)
Macey	梅西;梅茜(女名)
Macy	梅西;梅茜(女名)
Maddalena	马达莱纳;马达莱娜(女名)
Madilyn	马迪林;马迪琳(女名)
Mady	马迪;玛迪(女名)
Magot	马戈;玛戈(女名)(教名Margaret的昵称)
Maha	马哈;玛哈(女名)
Maia	马娅 (女名);马亚
Makala	马卡拉;玛卡拉(女名)
Malia	马利亚;马莉娅(女名)
Malina	马利娜 (女名);马利纳
Mana	马娜 (女名);马纳
Mara	马拉;玛拉(女名)
Marcela	马塞拉;玛塞拉(女名)
Margot	马戈;玛戈(女名)(女子教名Margaret和Marguérite的昵称)
Mari	马里;玛丽(女名)
Mariam	马里亚姆;玛丽亚姆(女名)
Marian	马里安;玛丽安(女名)
Marie	马里;玛丽(女名)
Marina	马里纳;玛丽娜(女名)
Marion	马里昂;玛丽昂(女名)
Marisol	马里索尔;玛丽索尔(女名)
Maritza	马里察;玛丽察(女名)
Mariyn	马林;马琳(女名)
Marley	马利;马莉(女名)
Marly	马利;玛莉(女名)
Marlyn	马林;马琳(女名)
Marta	马尔塔;玛尔塔(女名)
Martina	马丁纳;马丁娜(女名)(女子教名,亦作姓用,是Martin的女性化形式;它的法语形式是  Martine)
Mary	马里;玛丽(女名)(女子教名,亦作姓用,源于希伯来语;昵称 Mall、Mally、Moll、Molly 和  Polly;它在爱尔兰语的变体是 Máire、Moire;在苏格兰的昵称是 Maidie;在美国的昵称是 Mamie;它的法语变体是  Marie;意大利语和德语变体是 Maria;俄语变体是 Marya 和 Masha)
Massa	马萨;玛萨(女名)
Mat	马特;玛特(女名)(教名Matthew、Martha、Matilda的昵称)
Mata	马塔;玛塔(女名)
Mathilda	玛蒂尔达 (女名);马蒂尔达
Mathilde	马蒂尔德;玛蒂尔德(女名)
Matilda	马蒂尔达;玛蒂尔达(女名)
Matilde	马蒂尔德;玛蒂尔德(女名)
Matt	马特;玛特(女名)
Matta	玛塔 (女名);马塔
Mattie	马蒂;玛蒂(女名)(教名Martha的昵称)
Matty	马蒂;玛蒂(女名)(教名Matthew、Martha、Matilda的昵称)
Mavis	梅维斯;梅维丝(女名)
Maya	马娅 (女名);马亚
Mercedes	梅塞德斯;梅塞德丝(女名)
Mercy	默西;默茜(女名)
Mina	米纳;米娜(女名)
Minna	明纳;明娜(女名)
Miriam	米里亚姆;米丽娅姆(女名)
Misa	米莎 (女名);米萨
Misty	米斯蒂;米丝蒂(女名)
Miya	米亚;米娅(女名)
Mona	莫娜 (女名);莫纳
Monday	蒙黛 (女名);蒙代
Monika	莫妮卡 (女名);莫尼卡
Monna	蒙娜 (女名);蒙纳
Montana	蒙塔纳;蒙塔娜(女名)
Morwena	莫文纳;莫文娜(女名)
Mosina	莫西纳;莫西娜(女名)
Muriel	缪里尔;缪丽尔(女名)(它的变体是Meriel)
Myriam	米里亚姆;米丽娅姆(女名)
Nada	娜达(女名);纳达
Nadia	纳迪娅(女名);纳迪亚
Nana	纳娜(女名);纳纳
Nance	南斯;南丝(女名)
Nat	纳特;娜特(女名)
Nellie	内利;内莉(女名)
Ness	内斯;内丝(女名)
Nia	尼亚;尼娅(女名)
Ninette	尼内特;妮内特(女名)
Nuria	努里亚;努丽娅(女名)
Odilia	奥迪利亚;奥迪莉娅(女名)
Olena	奥莱纳;奥莱娜(女名)
Oliffe	奥利夫;奥利芙(女名)
Olliffe	奥利夫;奥利芙(女名)
Paloma	帕洛马;帕洛玛(女名)
Pana	帕娜 (女名);帕纳
Pena	佩娜 (女名);佩纳
Philida	菲利达;菲莉达(女名)
Pinna	平娜 (女名);平纳
Precious	普雷舍斯;普雷舍丝(女名)
Presley	普雷斯利;普雷斯莉(女名)
Primrose	普里姆罗斯;普丽姆罗丝(女名)
Rachel	雷切尔;蕾切尔(女名)
Rae	雷;蕾(女名)
Raina	雷纳;雷娜(女名)
Rana	拉娜(女名);拉纳
Rasa	拉莎(女名);拉萨
Ray	雷;蕾(女名)
Rayna	雷纳;雷娜(女名)
Reagan	里根;丽根(女名)
