费尔伯恩 | 费尔贝恩 | fairbairn
迪普斯 | 杜普斯 | dupes
埃德尔霍赫 | 埃德尔霍克 | edelhoch
瓦格尼 | 韦恩 | wagne
布罗兰 | 布罗林 | brorein
艾梅施 | 伊梅施 | imesch
埃尔托黑德 | 埃尔顿黑德 | eltonhead
特鲁普 | 思鲁普 | throop
加布尔 | 加伯 | gabbour
塔利亚雷罗 | 塔利亚费罗 | tagliaferro
马金南 | 马基嫩 | makinen
麦科瑙希 | 麦康瑙希 | mcconaughy
达文 | 达温 | darwen
卡斯格伦 | 卡斯格兰 | casgrain
菲达迪斯 | 菲丹迪斯 | fidandis
卡赫 | 卡尔 | karrh
杰罗尔 | 杰拉尔 | gerall
克雷 | 克里 | kerrey
斯特吉斯 | 斯特奇斯 | sturges
多 | 道 | daw
阿什多恩 | 阿什当 | ashdown
吉尔德 | 盖尔德 | geld
福伊希特瓦格 | 福伊希特万格 | feuchtwanger
克莱农 | 克勒农 | clernon
德鲁夫 | 德鲁伊夫 | druiff
德尔里戈 | 德尔列戈 | delriego
比沃特 | 拜沃特 | bywater
梅恩斯 | 默恩斯 | mearns
亚历山大 | 达历山大 | d'alexander
利多尔 | 利德尔 | liddall
斯蒂克 | 斯特克 | stirk
古特穆特 | 古特穆思 | gutermuth
玛乔林 | 马乔林 | marjolin
洛多维克 | 洛多威克 | lodowicke
弗拉泽 | 弗雷泽 | frazer
罗林格 | 罗林杰 | rollinger
克拉伯 | 克莱伯 | klaber
格里索德 | 格雷特黑德 | greathead
马尔特比 | 莫尔特比 | maltby
克拉特 | 克鲁特 | krutter
伍兹德 | 伍德赛德 | woodside
古妮拉 | 古尼拉 | gunilla
舒尔金德 | 舒尔坎德 | schulkind
皮什 | 佩什 | peche
利金斯 | 莱金斯 | lykins
利恩 | 利安娜 | leanne
格拉伯 | 格雷伯 | graber
弗兰库姆 | 弗兰克姆 | frankum
纽布兰克 | 纽布兰奇 | newbranch
布利肯斯弗 | 布利肯斯德弗 | blickensderfer
迪瓦斯 | 德瓦斯 | dewas
赫斯莱普 | 赫斯利普 | heslep
埃文 | 欧文 | ervin
埃加尔 | 埃加 | eggar
索恩顿 | 桑顿 | thornton
拉德姆 | 拉德勒姆 | rudderham
阿文特 | 埃文特 | avent
弗卡克 | 弗凯克 | verkaik
特雷富西斯 | 特里富西斯 | trefusis
科克伦 | 科克兰 | cockran
圭尔 | 瓜尔 | guare
卡莉尔 | 卡利尔 | kalil
肖茨 | 肖恩茨 | shontz
弗劳 | 弗劳德 | furlaud
福尔迪西 | 福尔德西 | foldessy
皮伦斯 | 佩伦斯 | peirens
费布勒 | 法布勒 | fabler
杜因特 | 德温特 | dewint
斯威特曼 | 斯韦特曼 | sweatman
范沃森 | 范福森 | vanfossan
拉弗莱奇 | 拉弗莱什 | lafleche
阿斯基思 | 阿斯奎思 | asquith
埃沃伊 | 伊沃伊 | evoy
坦吉 | 坦圭 | tanguay
布里尼希 | 布里尼格 | brinig
拉斯布里格 | 拉斯布里杰 | rusbridger
哈斯卢普 | 哈斯勒普 | haslup
休林斯 | 赫林斯 | hulings
贝雷 | 贝里 | berrey
麦克米切尔 | 麦克迈克尔 | mcmichael
阿尔曼 | 阿利芒 | allemang
格林胡特 | 格林赫特 | greenhut
福马尼克 | 福马内克 | formanek
赞皮略 | 赞皮耶洛 | zampiello
门宁 | 门嫩 | mennen
麦克雷思 | 麦克勒思 | mackereth
奥瑟 | 奥泽 | orser
杜布尔迪 | 道布尔迪 | doubleday
库普里尔 | 卡普里尔 | cuprill
多奇 | 德奇 | doetsch
切克齐安 | 彻克齐安 | cherkezian
艾肯格琳 | 艾肯格林 | eichengreen
麦克鲁登 | 麦克拉登 | mccrudden
奥尔斯塔特 | 阿尔斯塔特 | alstadt
博尼法修斯 | 博尼费修斯 | bonifacius
