布雷金里奇 | 布雷肯里奇 | breckinridge
塞德 | 切德 | cedd
玛莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
霍普特 | 豪普特 | houpt
西恩 | 西根 | seaghan
斯特拉西恩 | 斯特拉森 | strathearn
派珀特 | 佩珀特 | peipert
梅雷斯曼 | 米尔斯曼 | meresman
弗兰岑 | 弗兰曾 | franzon
伊兹比基 | 伊兹比茨基 | izbicky
埃查维斯特 | 埃沙韦斯特 | echaveste
费尔伯恩 | 费尔贝恩 | fairbairn
沃塞尔 | 瓦塞尔 | wassell
西金特 | 萨金特 | seargent
亨巴克 | 亨巴赫 | heimbach
纳尔迪 | 纳迪 | nardi
杰米马 | 杰迈玛 | jemima
莫杜伊特 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
耶德利 | 亚德利 | yeardley
欣奇利夫 | 欣奇克利夫 | hinchcliffe
博比 | 鲍比 | bobbie
迪普斯 | 杜普斯 | dupes
麦基尔文娜 | 麦基尔温纳 | macilvenna
赖因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
埃德尔霍赫 | 埃德尔霍克 | edelhoch
博特尔 | 博索尔 | botsal
瓦格尼 | 韦恩 | wagne
厄德曼 | 厄尔德曼 | erdman
戈伦贝夫斯基 | 戈伦别夫斯基 | golembiewski
布罗兰 | 布罗林 | brorein
格雷戈尔 | 格雷瓜尔 | gregoire
米卡亚 | 迈凯亚 | micajah
莱德洛 | 莱德劳 | laidlaw
科姆斯诺夫 | 科梅萨罗夫 | komesaroff
雷马克斯 | 拉马克斯 | raemakers
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
斯克拉顿 | 斯克鲁顿 | scrutton
津南 | 津宁 | zinnen
佩莱蒂埃 | 佩尔蒂埃 | pelletier
帕塞尔 | 帕斯尔 | parcel
霍诺里 | 霍诺丽 | honori
艾梅施 | 伊梅施 | imesch
埃尔托黑德 | 埃尔顿黑德 | eltonhead
西明顿 | 赛明顿 | symington
特鲁普 | 思鲁普 | throop
马豪 | 玛奥 | mahault
法克 | 菲克 | fike
奥德斯 | 奥杜斯 | audus
加布尔 | 加伯 | gabbour
韦克特尔 | 瓦赫特尔 | wachtel
塔利亚雷罗 | 塔利亚费罗 | tagliaferro
夏夫尔 | 希维尔 | shivell
马金南 | 马基嫩 | makinen
拉凯斯 | 拉雪兹 | lachaise
麦科瑙希 | 麦康瑙希 | mcconaughy
达维格多 | 达维多尔 | d'avigdor
加莱夫 | 加利夫 | galef
达文 | 达温 | darwen
