戈妮娅 | 戈尼亚 | gonia
布雷金里奇 | 布雷肯里奇 | breckinridge
塞德 | 切德 | cedd
玛莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
法莱恩 | 法兰 | farlane
霍普特 | 豪普特 | houpt
沃尔斯塔特 | 沃尔施塔特 | wollstadt
派珀特 | 佩珀特 | peipert
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
伊兹比基 | 伊兹比茨基 | izbicky
埃卡维斯特 | 埃沙韦斯特 | echaveste
舒普 | 肖普 | shoupp
蒙斯巴赫 | 蒙斯巴克 | maunsbach
沃塞尔 | 瓦塞尔 | wassell
瑟金特 | 萨金特 | seargent
海巴克 | 亨巴赫 | heimbach
基布勒 | 库布勒 | kuebler
杰米马 | 杰迈玛 | jemima
海伊 | 希 | hie
莫杜伊特 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
耶德利 | 亚德利 | yeardley
博比 | 鲍比 | bobbie
麦基尔文娜 | 麦基尔温纳 | macilvenna
莱恩斯 | 赖恩斯 | rines
博查尔 | 博索尔 | botsal
科勒兰 | 科尔雷因 | coleraine
瓦格尼 | 韦恩 | wagne
赖格纳尔德 | 赖格纳德 | reignald
厄德曼 | 厄尔德曼 | erdman
戈伦比夫斯基 | 戈伦别夫斯基 | golembiewski
格雷戈尔 | 格雷瓜尔 | gregoire
米卡贾 | 迈凯亚 | micajah
莱德洛 | 莱德劳 | laidlaw
科姆萨罗夫 | 科梅萨罗夫 | komesaroff
雷默克斯 | 拉马克斯 | raemakers
比伦森 | 贝伦森 | beilenson
皮凯弗 | 皮卡弗 | piccaver
福图内多 | 福图纳多 | fortunado
斯克拉顿 | 斯克鲁顿 | scrutton
费尔本 | 费尔伯恩 | fairburn
津嫩 | 津宁 | zinnen
布盖兹 | 布尔盖兹 | bourgaize
珀利蒂尔 | 佩尔蒂埃 | pelletier
帕塞尔 | 帕斯尔 | parcel
霍诺里 | 霍诺丽 | honori
艾梅希 | 伊梅施 | imesch
西明顿 | 赛明顿 | symington
马奥 | 玛奥 | mahault
法克 | 菲克 | fike
奥德斯 | 奥杜斯 | audus
沃伊奇 | 沃伊蒂奇 | woytych
韦克特尔 | 瓦赫特尔 | wachtel
夏夫尔 | 希维尔 | shivell
马基宁 | 马基嫩 | makinen
拉凯斯 | 拉雪兹 | lachaise
达伦 | 达龙 | daron
麦科瑙希 | 麦康瑙希 | mcconaughy
达维格多 | 达维多尔 | d'avigdor
加莱夫 | 加利夫 | galef
曼纳韦 | 马纳韦 | mannaway
基利 | 基利亚 | killea
费迪斯科 | 弗迪斯科 | verdisco
阿福特 | 阿富尔蒂特 | affourtit
米塞尔 | 米赛尔 | misael
赫默里克 | 亨默里克 | hemmerich
黑伍德 | 希伍德 | heawood
詹宁斯 | 杰宁斯 | jenyns
弗里霍夫 | 弗里德霍夫 | friedhoff
斯坦姆斯 | 斯泰姆斯 | stames
比比 | 毕比 | beebe
博查特 | 博哈特 | borchardt
卡明 | 卡迈恩 | carmine
巴特伦 | 巴特拉姆 | bartram
派尔 | 皮尔 | peile
麦康恩 | 麦肯 | mccon
麦卡里 | 麦凯里 | mccarey
克雷扬 | 克雷恩 | crayon
拉布尔 | 鲁布尔 | ruble
英范特 | 因方特 | infant
高尔珀恩 | 加尔珀恩 | galpern
杰勒尔 | 杰拉尔 | gerall
亨内肯斯 | 亨尼肯斯 | hennekens
吉弗 | 贾埃弗 | giaever
贾米 | 杰米 | jamie
鲍尔霍恩 | 巴尔霍恩 | ballhorn
斯特吉斯 | 斯特奇斯 | sturges
莫克瑟姆 | 莫克塞姆 | moxam
唐 | 道 | daw
卡姆 | 卡尔姆 | culme
比克姆 | 比卡姆 | bickham
夏尔曼 | 沙伊尔曼 | shireman
梅索利 | 梅索伊 | meszoly
格格拉德 | 古格拉德 | ghugrad
埃森斯 | 埃森丝 | essence
格沃思米 | 格瓦思米 | gwathmey
利布 | 利比 | luebbe
哈兹尔 | 黑兹尔 | hazell
金德雷德 | 金德里德 | kindred
纽索尔 | 纳托尔 | nuthall
佐扎 | 佐尔扎 | zorza
迪 | 戴伊 | daigh
埃廷 | 埃泰恩 | etain
巴策 | 巴策尔 | batzer
莱思科特 | 利思科特 | lythcott
廷肯 | 廷康 | tinkon
德弗拉茨 | 迪弗雷特斯 | defrates
尤拉姆 | 乌拉姆 | ulam
达劳 | 达罗 | darraugh
沙德伯格 | 谢德伯格 | schadeberg
戴多 | 德多 | dedow
蒂利 | 泰利 | tiley
格罗布 | 格罗比 | grobe
塔塔利诺 | 塔尔塔利诺 | tartaglino
兰姆 | 拉姆 | lambe
卡德韦尔 | 考德威尔 | caldwell
利多尔 | 利德尔 | liddall
泽米娜 | 泽米纳 | zemina
坎特伯里 | 坎特伯雷 | canterbury
塔肯 | 泰肯 | tacon
基尔施 | 基尔希 | kirsch
古特穆特 | 古特穆思 | gutermuth
弗森 | 费尔森 | ferson
托皮 | 托毕 | torpey
洛多维克 | 洛多威克 | lodowicke
泰希曼 | 泰克曼 | teichmann
普鲁德霍姆 | 普鲁多姆 | prudhomme
坎比 | 坎贝 | cumbey
赫姆尔 | 赫姆利 | hermle
蒙冈 | 蒙贡 | mongon
穆塞尔 | 马塞尔 | mussehl
亨佩尔 | 亨普尔 | hempel
艾罗 | 艾罗尔特 | ayrault
赖蒂娜 | 赖蒂纳 | rytina
雷亚 | 雷 | rea
富加特 | 富盖特 | fugate
罗林格 | 罗林杰 | rollinger
德卢吉 | 德路易吉 | deluigi
科切雷斯 | 科克里斯 | cocheres
鲁德 | 鲁阿兹 | ruadh
巴斯凯特 | 巴斯克特 | baskette
马尔特比 | 莫尔特比 | maltby
