布雷金里奇 | 布雷肯里奇 | breckinridge
塞德 | 切德 | cedd
哈格森 | 哈根森 | haagensen
梅利 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
霍普特 | 豪普特 | houpt
西恩 | 西根 | seaghan
斯特拉瑟恩 | 斯特拉森 | strathearn
派珀特 | 佩珀特 | peipert
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
弗兰宗 | 弗兰曾 | franzon
伊兹比基 | 伊兹比茨基 | izbicky
伊卡维斯特 | 埃沙韦斯特 | echaveste
米尔黑德 | 缪尔黑德 | muirhead
舒普 | 肖普 | shoupp
普安 | 普汉 | puhan
沃塞尔 | 瓦塞尔 | wassell
西金特 | 萨金特 | seargent
亨巴克 | 亨巴赫 | heimbach
纳尔迪 | 纳迪 | nardi
杰米马 | 杰迈玛 | jemima
莫杜伊特 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
耶德利 | 亚德利 | yeardley
欣奇利夫 | 欣奇克利夫 | hinchcliffe
博比 | 鲍比 | bobbie
麦基尔文娜 | 麦基尔温纳 | macilvenna
莱因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
博特尔 | 博索尔 | botsal
科尔伦 | 科尔雷因 | coleraine
厄德曼 | 厄尔德曼 | erdman
戈伦比斯基 | 戈伦别夫斯基 | golembiewski
格雷戈伊尔 | 格雷瓜尔 | gregoire
米卡贾 | 迈凯亚 | micajah
莱德洛 | 莱德劳 | laidlaw
科姆萨罗夫 | 科梅萨罗夫 | komesaroff
雷梅克斯 | 拉马克斯 | raemakers
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
斯克拉顿 | 斯克鲁顿 | scrutton
哈兹利特 | 黑兹利特 | hazlitt
津嫩 | 津宁 | zinnen
布盖兹 | 布尔盖兹 | bourgaize
佩莱蒂尔 | 佩尔蒂埃 | pelletier
帕塞尔 | 帕斯尔 | parcel
霍诺里 | 霍诺丽 | honori
西明顿 | 赛明顿 | symington
布龙海姆 | 布朗海姆 | bronheim
马霍尔特 | 玛奥 | mahault
法伊克 | 菲克 | fike
奥德斯 | 奥杜斯 | audus
沃伊蒂克 | 沃伊蒂奇 | woytych
韦克特尔 | 瓦赫特尔 | wachtel
夏维尔 | 希维尔 | shivell
拉蔡斯 | 拉雪兹 | lachaise
达维格多 | 达维多尔 | d'avigdor
加莱夫 | 加利夫 | galef
玛吉 | 马吉 | magi
曼纳韦 | 马纳韦 | mannaway
梅恩 | 米恩 | meighen
