拉帕迪兹 | 拉帕迪斯 | lapadis
布雷金里奇 | 布雷肯里奇 | breckinridge
锡德 | 切德 | cedd
马莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
斯特拉撒恩 | 斯特拉森 | strathearn
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
弗兰宗 | 弗兰曾 | franzon
伊兹比基 | 伊兹比茨基 | izbicky
伊卡维斯特 | 埃沙韦斯特 | echaveste
费尔伯恩 | 费尔贝恩 | fairbairn
舒普 | 肖普 | shoupp
普恩 | 普汉 | puhan
曼斯巴克 | 蒙斯巴克 | maunsbach
沃塞尔 | 瓦塞尔 | wassell
西金特 | 萨金特 | seargent
亨巴克 | 亨巴赫 | heimbach
基布勒 | 库布勒 | kuebler
纳尔迪 | 纳迪 | nardi
杰米马 | 杰迈玛 | jemima
莫杜瓦 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
厄德利 | 亚德利 | yeardley
欣奇利夫 | 欣奇克利夫 | hinchcliffe
博比 | 鲍比 | bobbie
哈布雷恩 | 哈布伦 | harberen
麦基尔文娜 | 麦基尔温纳 | macilvenna
莱因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
博策尔 | 博索尔 | botsal
科勒伦 | 科尔雷因 | coleraine
科克拉姆 | 科克勒姆 | cockrum
瓦格尼 | 韦恩 | wagne
多特曼 | 多伊特曼 | deutermann
埃德曼 | 厄尔德曼 | erdman
戈伦布贝斯基 | 戈伦别夫斯基 | golembiewski
格雷戈伊尔 | 格雷瓜尔 | gregoire
米卡贾 | 迈凯亚 | micajah
莱德洛 | 莱德劳 | laidlaw
科姆萨罗夫 | 科梅萨罗夫 | komesaroff
雷梅克斯 | 拉马克斯 | raemakers
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
津嫩 | 津宁 | zinnen
费登 | 法登 | faden
布盖兹 | 布尔盖兹 | bourgaize
佩莱蒂尔 | 佩尔蒂埃 | pelletier
